season,week,home,road,line,actual,hscore,vscore,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linesuper,linedunk,linebill,linebihl,lineround,linefei,linemedian,lineharville,linesaggm,lineespn,linefox,lineopen,linepig,linecons,linecong,linepibias,linel2,lineteamrank,lineash,linepimean,lineca,linekeep,linekerns,linel2hf,linelog,lineatom,linedwig,linepiratings,linecather,linetalis,linedonchess,linefeng,linemidweek,lineclean,linecurry,linepugh,linestd,total,phcover,phwin
2021,2,Charlotte,Duke,-6.5,3,31,28,-8.86,-5.97,-7.28,5.56,-6.82,-0.69,-9.06,5.0,-6.72,-2.0,-9.06,0.79,-2.96,-0.83,-3.33,-0.43,-2.0,4.75,-4.67,-9.25,,3.42,,,-0.35,-4.67,-5.27,-8.58,-4.97,3.0,-7.5,-9.0,-0.21,-5.61,-7.3,,-6.1,,-10.5,-6.5,-16.0,-1.8,,,,-4.0,-9.9,8.0,,-3.5,,-6.0,10.5,3.29,-6.43,5.68,59,0.5745736596,0.4217098933
2021,2,Cincinnati,Miami (Ohio),23.0,35,49,14,16.74,21.32,11.6,24.47,15.01,23.02,16.54,12.0,22.21,19.5,16.54,13.33,27.67,15.96,20.2,16.8,-2.0,36.05,17.88,41.31,,20.29,,,0.96,19.0,13.99,17.02,18.97,29.0,20.5,31.0,25.38,7.35,21.9,,27.8,,18.1,23.0,21.72,17.45,,,,3.0,16.4,26.0,,24.0,,22.5,19.0,29.8,30.86,8.03,63,0.4374613024,0.8719364741
2021,2,Clemson,Georgia,3.0,-7,3,10,1.35,4.21,0.25,9.16,1.95,8.88,1.35,1.0,4.4,3.0,1.35,2.54,5.8,4.57,3.36,2.47,10.0,4.8,5.84,1.81,,0.42,,,0.77,2.54,2.34,1.35,6.83,5.0,4.0,3.0,1.39,10.04,-0.8,,3.6,,-1.4,3.0,1.51,1.9,,,,1.0,-2.3,7.0,,3.4,,3.0,7.5,4.29,9.56,3.21,13,0.5088672493,0.5821778606
2021,2,Florida,Florida Atlantic,23.5,21,35,14,24.38,24.99,18.53,17.93,29.23,11.69,24.18,4.0,26.53,17.0,24.18,11.08,30.28,15.0,23.0,28.42,11.0,37.15,17.4,29.44,,11.75,,,0.88,24.66,27.0,24.66,23.83,30.0,24.5,29.0,27.43,11.48,32.3,,25.7,,32.7,23.5,30.1,32.6,,,,10.0,32.4,23.0,,17.0,,23.5,23.0,30.4,30.21,8.68,49,0.4889771879,0.8981616466
2021,2,Florida St.,Notre Dame,-7.0,-3,38,41,-4.06,-12.43,-6.78,-24.1,-12.95,-9.83,-4.26,-7.0,-11.59,-17.5,-4.26,-20.07,-23.26,-10.23,-11.49,-17.68,11.0,-23.25,-9.42,-23.63,,-14.5,,,-1.03,-10.91,-15.33,-3.78,-7.75,-22.0,-9.5,-9.0,-15.87,-3.99,-4.7,,-8.7,,-4.1,-7.5,-12.65,-24.9,,,,3.0,-2.4,-16.0,,-11.9,,-7.5,5.0,-23.8,,8.36,79,0.4011971107,0.2609582083
2021,2,Georgia St.,Army,2.0,-33,10,43,12.09,1.26,1.33,-8.56,-2.02,4.22,11.89,3.0,1.04,-3.0,11.89,3.23,-9.16,1.93,1.87,6.66,-6.0,-2.25,2.61,1.25,,-1.58,,,-0.11,0.5,0.17,12.37,5.02,-2.0,4.0,-1.0,-2.33,8.12,-0.9,,-1.8,,-0.6,2.0,14.0,-0.35,,,,-1.0,-0.01,6.0,,0.5,,2.0,9.0,-1.08,-6.78,5.61,53,0.4969197509,0.5442177125
2021,2,Georgia Tech,Northern Ill.,18.5,-1,21,22,2.02,15.09,8.05,0.13,5.8,5.82,1.82,6.0,15.79,8.0,1.82,8.71,10.19,6.51,10.37,11.5,7.0,16.35,-5.04,10.94,,9.25,,,0.22,10.94,11.23,2.3,14.01,14.0,13.0,24.0,11.38,24.89,15.2,,17.8,,14.3,17.5,19.54,3.35,,,,10.0,11.7,16.0,,7.9,,18.0,17.0,16.94,13.93,6.55,43,0.3179401149,0.7270507838
2021,2,Houston,Texas Tech,1.5,-17,21,38,0.59,-0.24,-8.96,-0.13,-3.42,7.14,0.39,7.0,0.15,4.0,0.39,-3.66,-1.15,-0.39,0.45,7.71,6.0,3.85,4.15,2.75,,0.83,,,0.01,0.39,-5.03,0.87,-5.02,5.0,-6.5,0.01,2.4,-5.54,2.8,,4.4,,-1.3,1.5,-7.67,0.85,,,,-4.0,1.1,5.0,,1.4,,-1.0,6.5,-5.11,-0.01,4.31,59,0.4745509141,0.5109127976
2021,2,Illinois,Texas-San Antonio,5.0,-7,30,37,11.0,6.43,16.24,1.29,18.01,5.88,-33.89,-5.0,7.16,0.01,8.37,-0.01,11.96,12.02,5.0,8.11,-1.0,10.85,2.43,2.44,,3.29,,,0.39,7.1,14.55,-25.48,4.71,9.0,6.5,8.0,2.92,14.33,8.8,,8.8,,7.2,5.0,6.0,3.65,,,,11.0,7.1,4.0,,3.2,,5.5,-1.5,8.53,13.27,9.62,67,0.5,0.6061673616
2021,2,Iowa,Indiana,3.5,28,34,6,5.83,5.02,6.31,11.42,10.39,6.28,5.63,4.0,4.89,6.5,5.63,6.2,8.05,7.13,5.38,5.12,3.0,8.05,8.04,8.13,,0.5,,,0.8,5.63,4.95,6.11,2.85,11.0,5.5,6.0,5.41,-1.66,1.1,,3.1,,-0.4,3.5,2.39,6.3,,,,3.0,0.4,4.0,,3.1,,3.5,11.5,7.45,9.26,3.22,40,0.5461988242,0.6301077263
2021,2,Kansas St.,Stanford,3.5,17,24,7,-1.53,-1.99,0.9,1.49,1.64,4.85,-1.53,1.0,-1.98,4.5,-1.53,-2.13,1.68,7.94,-0.85,-12.81,-2.0,-8.6,-1.14,5.63,,-6.25,,,-0.16,-1.14,-1.17,-1.53,-2.33,-3.0,1.5,0.01,-2.5,-4.59,1.5,,1.4,,1.1,2.5,-0.55,-8.5,,,,-1.0,2.6,-2.0,,3.0,,3.0,-2.0,-7.52,3.77,3.95,31,0.3951551757,0.4792806966
2021,2,Kentucky,Louisiana-Monroe,31.0,35,45,10,33.31,31.04,17.69,27.12,28.55,23.1,33.11,18.0,32.56,18.5,33.11,17.28,37.51,17.06,29.19,32.37,5.0,45.65,27.88,41.56,,19.67,,,0.63,31.04,29.79,33.59,28.69,41.0,28.5,38.0,29.25,25.98,35.9,,34.0,,35.3,31.0,30.85,32.55,,,,10.0,33.3,39.0,,25.0,,31.0,18.5,45.96,36.19,10.08,55,0.4616553216,0.9397241048
2021,2,Maryland,West Va.,-2.5,6,30,24,-8.04,-4.83,-1.07,-9.04,-3.71,-3.84,-8.24,-2.0,-4.78,-10.0,-8.24,-5.27,-7.94,-5.01,-4.81,4.47,-4.0,-2.75,-14.8,-23.44,,-4.92,,,-0.71,-3.84,-1.37,-7.76,-0.44,-8.0,-4.5,-3.0,-8.76,-0.97,-3.8,,-1.2,,-3.5,-2.5,5.04,-0.8,,,,3.0,-3.5,-10.0,,-6.7,,-3.0,1.0,-9.37,-3.2,4.14,54,0.4440074799,0.3846788437
2021,2,Miami (Fla.),Alabama,-19.5,-31,13,44,-22.88,-18.02,-16.15,-26.02,-18.96,-15.82,-22.88,-10.0,-18.27,-24.5,-22.88,-15.77,-30.52,-11.3,-18.41,-27.08,-7.0,-37.2,-13.81,-11.44,,-6.28,,,-0.88,-18.27,-19.91,-22.88,-12.01,-36.0,-17.5,-15.0,-7.53,1.3,-13.7,,-19.6,,-12.7,-19.5,-22.82,-26.85,,,,-1.0,-13.3,-29.0,,-23.0,,-19.5,-11.0,-35.68,-26.51,9.41,57,0.5235529122,0.1592044087
2021,2,Michigan,Western Mich.,16.5,33,47,14,6.18,15.21,17.52,6.88,11.48,9.45,5.98,-0.25,16.13,5.5,5.98,6.87,16.49,13.85,11.76,9.22,-1.0,18.55,7.73,20.75,,8.42,,,-0.62,13.04,13.04,6.46,14.86,19.0,17.5,25.0,13.47,13.2,17.2,,20.2,,15.5,16.0,9.81,-1.7,,,,10.0,15.0,18.0,,7.5,,17.0,2.0,15.72,23.14,6.59,61,0.3913727329,0.753050895
2021,2,Minnesota,Ohio St.,-14.0,-14,31,45,-17.19,-13.95,-5.23,-24.87,-14.36,-15.06,-17.39,-6.0,-13.76,-22.0,-17.39,-15.71,-19.6,-8.25,-13.96,-20.56,-6.0,-20.35,-20.66,-19.75,,-8.04,,,-0.34,-15.06,-14.36,-16.91,-15.44,-20.0,-14.0,-12.0,-10.59,3.55,-12.6,,-17.2,,-12.2,-14.0,-4.9,-19.7,,,,3.0,-13.5,-5.0,,-23.5,,-14.0,-14.0,-21.53,-16.94,6.99,76,0.5009199459,0.2104728682
2021,2,Mississippi,Louisville,10.0,19,43,24,10.98,8.45,5.22,3.06,4.44,2.07,10.98,4.0,8.34,5.0,10.98,9.49,9.62,5.55,6.33,6.45,-5.0,4.8,2.41,11.75,,2.92,,,-0.76,6.58,4.97,10.98,7.25,2.0,7.5,9.0,9.72,7.7,10.0,,8.5,,11.9,9.5,-0.01,1.3,,,,1.0,11.6,6.0,,6.7,,10.0,-6.0,12.38,,4.44,67,0.4119060259,0.6495169244
2021,2,Mississippi St.,Louisiana Tech,23.0,1,35,34,15.98,22.93,20.79,11.33,18.22,10.73,15.78,7.0,25.04,5.0,15.78,4.0,22.6,9.69,17.62,16.87,-2.0,28.05,17.14,32.0,,2.17,,,0.88,18.32,18.32,16.26,22.04,22.0,27.5,23.0,20.12,13.28,27.0,,23.5,,25.5,23.0,23.25,22.85,,,,10.0,25.8,26.0,,10.7,,23.0,5.0,27.22,23.42,8.39,69,0.3822140682,0.8368146366
2021,2,Missouri,Central Mich.,14.0,10,34,24,9.05,12.01,15.24,11.95,12.99,7.57,8.85,-0.25,12.5,13.0,8.85,7.54,17.03,10.26,11.14,8.87,-2.0,19.95,0.01,22.25,,14.04,,,0.22,10.8,15.08,9.33,9.18,19.0,12.5,23.0,14.57,11.04,9.7,,13.4,,10.8,13.5,8.05,3.75,,,,10.0,8.8,12.0,,4.5,,14.0,4.0,17.08,19.24,5.63,58,0.4325880948,0.7458045879
2021,2,NC St.,South Florida,19.0,45,45,0,22.83,19.19,9.14,15.25,15.93,10.85,22.63,17.0,19.62,13.5,22.63,15.33,19.04,11.02,18.38,17.74,-5.0,21.55,16.38,27.63,,16.96,,,0.55,18.5,20.73,23.11,17.57,18.0,16.5,26.0,23.09,26.41,18.3,,16.8,,19.1,19.0,29.03,23.0,,,,10.0,18.5,22.0,,20.0,,19.0,6.5,26.61,17.3,6.77,45,0.4856721314,0.856544906
2021,2,Navy,Marshall,-2.5,-42,7,49,0.23,-5.97,9.49,-3.41,-2.88,1.56,0.01,-6.0,-5.52,-4.0,0.01,-10.1,-5.4,6.08,-2.41,-4.42,9.0,-3.75,-7.22,-0.5,,-3.67,,,0.2,-2.88,-4.49,0.51,-7.01,0.01,-3.5,-1.0,-4.18,0.13,-0.8,,-3.0,,-0.9,-2.5,-15.96,-6.05,,,,3.0,-0.01,-8.0,,-5.4,,-2.5,6.5,-0.79,-1.36,5.17,56,0.5021507135,0.4426078043
2021,2,Northwestern,Michigan St.,3.0,-17,21,38,16.91,9.19,5.43,14.5,11.5,5.95,16.71,8.0,8.73,8.0,16.71,13.34,15.87,4.57,10.29,14.92,6.0,20.95,2.29,14.75,,15.08,,,1.29,11.5,12.45,17.19,3.37,18.0,7.5,13.0,16.17,-1.66,5.3,,4.9,,4.8,4.0,-2.87,12.65,,,,3.0,4.3,14.0,,6.8,,3.0,12.0,23.04,10.35,6.18,59,0.6656445509,0.7270834291
2021,2,Ohio,Syracuse,0.0,-20,9,29,13.6,0.4,-3.69,15.87,3.82,1.48,13.4,8.0,0.01,0.5,13.4,3.96,5.39,7.29,4.62,4.19,2.0,7.15,4.35,-3.13,,2.79,,,0.26,3.82,-0.23,13.88,0.36,10.0,0.0,0.01,9.11,4.61,3.9,,3.8,,3.3,0.5,-5.53,11.65,,,,-4.0,0.6,2.0,,3.3,,-1.5,19.0,4.74,0.73,5.7,38,0.6079287901,0.6079287901
2021,2,Oklahoma,Tulane,32.0,5,40,35,30.23,24.92,13.03,22.68,27.87,17.01,30.03,20.0,25.38,18.0,30.03,20.67,28.42,15.21,24.12,18.3,12.0,27.55,32.39,30.75,,10.63,,,0.39,24.93,24.22,30.51,22.44,28.0,-21.5,29.0,24.93,22.43,30.6,,29.1,,32.2,31.0,31.63,29.45,,,,4.0,33.5,31.0,,24.0,,31.5,21.0,24.78,24.35,8.03,75,0.3289173113,0.9124016072
2021,2,Oregon,Fresno St.,20.0,7,31,24,21.77,20.15,8.57,15.64,13.47,17.9,64.86,12.0,21.15,8.0,20.39,11.07,19.45,16.22,20.44,19.47,7.0,19.25,16.76,35.31,,22.12,,,0.67,19.25,14.58,64.13,18.07,21.0,20.5,21.0,26.2,21.58,17.2,,18.3,,16.2,20.0,25.91,21.45,,,,10.0,16.8,21.0,,17.0,,20.5,10.0,31.57,20.8,11.87,55,0.5088538804,0.8487456175
2021,2,Pittsburgh,Massachusetts,38.0,44,51,7,38.73,36.75,19.42,38.84,34.52,34.91,38.53,22.0,39.71,28.5,38.53,10.09,43.28,19.2,33.8,40.8,11.0,49.75,38.94,43.69,,17.58,,,1.79,36.75,32.54,39.01,35.28,45.0,35.5,40.0,29.96,31.24,32.6,,41.2,,29.8,38.0,51.37,32.75,,,,10.0,28.0,52.0,,25.0,,38.0,37.5,44.29,45.25,11.99,58,0.4163972916,0.9553407423
2021,2,Purdue,Oregon St.,7.0,9,30,21,-0.35,5.55,5.62,6.96,6.11,-0.17,-0.55,2.0,5.6,8.5,-0.55,5.03,3.37,0.81,2.94,0.85,-2.0,-1.25,-4.81,1.5,,-1.58,,,-0.49,2.0,3.12,-0.01,9.71,2.0,5.5,7.0,5.58,3.29,1.8,,7.4,,0.7,6.5,4.37,0.55,,,,3.0,1.4,2.0,,4.0,,7.0,10.0,-1.26,8.07,3.57,51,0.4014775738,0.5716945862
2021,2,Rutgers,Temple,14.5,47,61,14,8.69,15.47,12.21,-4.89,14.0,7.75,8.49,19.0,16.12,-2.0,8.49,9.59,14.78,0.01,12.7,19.28,-8.0,22.25,10.1,10.81,,4.67,,,-0.98,13.9,17.98,8.97,12.33,14.0,13.0,19.0,11.63,23.1,14.6,,13.9,,15.9,14.5,37.0,13.9,,,,10.0,15.6,28.0,,10.8,,14.5,1.0,16.16,17.66,8.56,75,0.4602518918,0.7593267186
2021,2,Rutgers,Temple,15.0,47,61,14,8.69,15.47,12.21,-4.89,14.0,7.75,8.49,19.0,16.12,-2.0,8.49,9.59,14.78,0.01,12.7,19.28,-8.0,22.25,10.1,10.81,,4.67,,,-0.98,13.9,17.98,8.97,12.33,14.0,14.5,19.0,11.63,23.1,14.6,,13.9,,15.9,15.0,37.0,13.9,,,,10.0,15.6,28.0,,10.8,,14.5,1.0,16.16,17.66,8.56,75,0.4492639732,0.7593267186
2021,2,San Diego St.,New Mexico St.,31.5,18,28,10,36.51,29.28,17.91,28.57,34.57,38.48,77.52,25.0,31.51,19.5,30.9,9.1,39.0,18.48,32.33,26.62,9.0,37.75,43.31,38.94,,19.64,,,1.9,32.0,23.79,85.33,35.0,32.0,28.5,31.0,24.2,32.99,35.4,,36.2,,31.7,31.5,42.27,27.95,,,,3.0,33.1,45.0,,31.5,,31.0,40.0,32.73,33.24,15.51,38,0.5149184213,0.9274335303
2021,2,South Alabama,Southern Miss.,1.0,24,31,7,-1.74,1.4,2.68,-1.97,0.47,-0.01,-1.94,5.0,1.51,-0.5,-1.94,0.4,2.42,-2.27,0.56,6.05,-1.0,-1.55,2.4,-0.19,,3.83,,,-0.39,-0.19,4.68,-1.46,-1.75,-4.0,0.0,-6.0,2.53,3.24,8.6,,-2.3,,8.8,1.0,-4.34,6.05,,,,3.0,10.8,-6.0,,-3.1,,1.0,-6.5,-1.44,-2.58,4.05,38,0.4892871589,0.5136335093
2021,2,Tennessee,Bowling Green,36.5,32,38,6,28.46,32.88,23.08,26.86,30.14,30.72,28.26,13.0,35.54,24.0,28.26,9.01,45.03,18.74,30.77,45.94,9.0,57.55,24.82,34.75,,12.79,,,1.68,30.72,31.6,28.74,29.3,44.0,28.5,49.0,24.16,30.96,38.3,,33.9,,33.5,36.0,49.07,32.8,,,,10.0,35.0,46.0,,23.0,,35.5,21.5,46.46,41.39,12.65,44,0.3888748222,0.9352014785
2021,2,Texas,Louisiana-Lafayette,9.0,20,38,18,16.02,7.94,16.72,10.34,19.07,10.77,15.82,-6.0,8.83,2.0,15.82,-0.01,13.79,6.34,10.33,3.07,4.0,21.75,5.94,12.06,,2.17,,,-0.01,9.9,14.7,16.3,16.26,18.0,16.5,8.0,9.89,9.96,8.2,,8.5,,9.9,9.0,5.78,15.85,,,,10.0,9.9,8.0,,5.4,,8.0,5.5,21.27,19.24,6.47,56,0.5309188266,0.7265977982
2021,2,Texas A&M,Kent,29.0,31,41,10,21.85,27.28,19.61,21.88,23.67,21.27,21.65,17.0,28.69,27.0,21.65,14.6,32.57,16.65,25.41,29.61,8.0,41.55,23.83,48.06,,15.29,,,0.01,25.61,25.61,22.13,30.21,33.0,28.5,38.0,30.66,23.0,30.7,,31.4,,27.4,29.0,29.7,23.7,,,,10.0,28.7,31.0,,23.5,,28.5,12.0,33.34,33.31,8.35,51,0.4206900646,0.9216865888
2021,2,Texas St.,Baylor,-14.0,-9,20,29,-24.81,-14.15,-14.91,-15.82,-17.8,-13.44,-25.01,-7.0,-14.98,-9.0,-25.01,-6.71,-21.06,-11.3,-14.52,2.38,-7.0,-15.65,-20.29,-36.63,,-5.75,,,-1.39,-14.7,-15.17,-24.53,-11.09,-21.0,-10.5,-23.0,-16.4,-19.08,-14.6,,-14.7,,-16.1,-14.0,-4.91,-12.45,,,,-4.0,-13.4,-13.0,,-11.3,,-14.0,2.0,-14.05,-21.22,7.07,49,0.4880651707,0.2017247504
2021,2,UCLA,LSU,-2.5,11,38,27,-10.11,-1.57,-1.32,-12.48,1.25,-10.09,-54.02,7.0,-0.94,-14.5,-10.1,-7.21,-1.56,-8.76,-3.86,4.42,-7.0,3.15,3.74,-18.13,,3.22,,,-0.26,-1.32,1.8,-50.54,-1.09,-9.0,-4.5,-5.0,-5.72,-1.41,3.4,,-2.0,,3.5,-2.5,19.21,13.15,,,,3.0,4.9,2.0,,-2.5,,-3.0,12.0,-6.88,-0.9,13.17,65,0.4737138358,0.4257731476
2021,2,USC,San Jose St.,14.0,23,30,7,21.03,14.09,10.03,9.51,16.96,7.17,64.2,6.0,14.69,1.5,19.81,8.68,15.24,10.71,15.9,8.61,12.0,17.35,16.66,19.81,,3.58,,,0.41,15.12,15.12,63.17,21.28,19.0,16.5,16.0,16.89,28.91,22.0,,16.3,,17.3,14.0,4.39,6.8,,,,10.0,18.0,11.0,,9.1,,14.0,12.5,9.58,16.79,12.66,37,0.5372782403,0.7832185166
2021,2,Virginia Tech,North Carolina,-6.0,7,17,10,-2.06,-6.78,-0.01,-2.56,2.11,-4.68,-2.26,-9.0,-6.12,0.5,-2.26,-12.67,-2.27,-0.01,-4.68,-4.08,2.0,-8.15,-3.68,-5.63,,-3.46,,,-0.55,-4.68,-2.64,-1.78,-2.17,-9.0,-6.5,-7.0,-5.91,-4.71,-10.8,,-6.6,,-7.2,-6.0,-11.58,-5.55,,,,3.0,-5.5,-12.0,,-7.2,,-5.5,-1.5,-3.58,-7.05,3.89,27,0.5321827559,0.3873151919
2021,2,Wake Forest,Old Dominion,31.5,32,42,10,28.36,29.86,15.41,20.05,25.24,34.77,28.16,28.0,32.5,20.0,28.16,6.13,27.22,18.55,27.34,26.9,-1.0,35.45,34.23,43.13,,17.58,,,1.16,28.36,22.17,28.64,30.43,33.0,33.5,33.0,26.84,47.82,38.9,,31.4,,36.6,31.5,41.96,19.25,,,,10.0,38.6,41.0,,18.0,,31.0,9.0,30.24,28.64,10.94,52,0.4145763447,0.921931806
2021,2,Washington St.,Utah St.,17.5,-3,23,26,16.81,17.42,10.67,10.59,17.41,11.38,16.61,18.0,18.53,4.5,16.61,7.46,22.78,9.46,17.26,19.3,8.0,24.35,15.94,17.88,,14.04,,,-0.01,18.0,19.95,17.09,13.35,23.0,13.0,21.0,19.18,24.45,18.9,,24.1,,18.6,17.5,31.32,25.65,,,,10.0,18.7,20.0,,17.0,,16.5,20.0,19.86,21.09,6.14,49,0.4943744179,0.8447439329
2021,2,Wisconsin,Penn St.,5.5,-6,10,16,4.95,4.21,3.41,10.43,5.83,6.07,4.75,8.0,3.57,2.0,4.75,10.01,7.25,3.71,5.42,2.86,1.0,4.95,11.35,7.56,,9.25,,,0.69,4.95,5.54,5.23,2.51,5.0,3.5,4.0,6.74,11.73,5.7,,4.8,,5.4,5.5,1.42,3.25,,,,3.0,6.5,11.0,,3.7,,5.5,1.5,1.33,7.25,2.95,26,0.4980233657,0.6314444485
2021,3,Akron,Temple,-6.5,-21,24,45,-2.35,-3.29,-4.35,-12.96,1.59,-11.06,-2.67,3.0,-5.32,-10.0,-2.47,-1.94,-8.59,-12.22,-4.81,-6.63,-6.0,-8.35,-5.74,-1.94,-8.55,-1.04,,,-1.25,-3.29,-1.75,-2.13,-5.19,-10.0,-3.0,-8.0,1.87,3.31,1.4,,-3.2,,2.2,-6.5,-13.71,1.03,,,,3.0,6.1,-4.0,-21.85,-2.8,,-7.0,-14.5,-13.61,-9.31,5.85,69,0.5397830043,0.3880925674
2021,3,Arizona,San Diego St.,2.0,-24,14,38,3.45,-1.56,3.91,-11.14,7.95,-1.08,2.73,-8.0,2.49,-13.0,6.6,-4.25,-1.63,-6.28,-2.1,-2.79,-8.0,-2.45,-6.83,-13.0,-5.15,-6.29,,,-0.88,-1.08,0.8,0.48,0.01,-2.0,1.0,1.0,-4.54,1.4,-1.0,,3.3,,-1.0,1.5,3.72,0.35,,,,13.0,-1.0,-2.0,-6.83,-2.3,,2.0,-13.5,-22.28,3.5,6.22,52,0.4049802452,0.4509857864
